pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_ug.l,notes
Doubek,Saint_Martin_Bay_SM-LH,8.5,TDP,C,Doubek_Saint_Martin_Bay_SM-LH_8.5_TDP_C,5.48,ug.L,0.6,
Bullerjahn/McKay,Sandusky_Bay,0.5,TDP,A,Bullerjahn/McKay_Sandusky_Bay_0.5_TDP_A,58.81,ug.L,0.6,
Bullerjahn/McKay,Sandusky_Bay,0.5,TDP,B,Bullerjahn/McKay_Sandusky_Bay_0.5_TDP_B,57.79,ug.L,0.6,
Bullerjahn/McKay,Sandusky_Bay,0.5,TDP,C,Bullerjahn/McKay_Sandusky_Bay_0.5_TDP_C,57.89,ug.L,0.6,
Bullerjahn/McKay,Sandusky_Bay,1,TDP,A,Bullerjahn/McKay_Sandusky_Bay_1_TDP_A,57.15,ug.L,0.6,
Bullerjahn/McKay,Sandusky_Bay,1,TDP,B,Bullerjahn/McKay_Sandusky_Bay_1_TDP_B,63.39,ug.L,0.6,
Bullerjahn/McKay,Sandusky_Bay,1,TDP,C,Bullerjahn/McKay_Sandusky_Bay_1_TDP_C,49.06,ug.L,0.6,
Godwin,SB1,0.7,TDP,A,Godwin_SB1_0.7_TDP_A,11.48,ug.L,0.6,
Godwin,SB1,0.7,TDP,B,Godwin_SB1_0.7_TDP_B,11.41,ug.L,0.6,
Godwin,SB1,0.7,TDP,C,Godwin_SB1_0.7_TDP_C,10.99,ug.L,0.6,
Godwin,SB14,3,TDP,A,Godwin_SB14_3_TDP_A,6.19,ug.L,0.6,
Godwin,SB14,3,TDP,B,Godwin_SB14_3_TDP_B,3.99,ug.L,0.6,
Godwin,SB14,3,TDP,C,Godwin_SB14_3_TDP_C,6.24,ug.L,0.6,
Godwin,SB14,0.7,TDP,A,Godwin_SB14_0.7_TDP_A,6.62,ug.L,0.6,
Godwin,SB14,0.7,TDP,B,Godwin_SB14_0.7_TDP_B,7.51,ug.L,0.6,
Godwin,SB14,0.7,TDP,C,Godwin_SB14_0.7_TDP_C,6.87,ug.L,0.6,
Rennie,Silver_Harbour_Thunder_Bay,0,TDP,A,Rennie_Silver_Harbour_Thunder_Bay_0_TDP_A,4.26,ug.L,0.6,
Rennie,Silver_Harbour_Thunder_Bay,0,TDP,B,Rennie_Silver_Harbour_Thunder_Bay_0_TDP_B,5.48,ug.L,0.6,
Rennie,Silver_Harbour_Thunder_Bay,0,TDP,C,Rennie_Silver_Harbour_Thunder_Bay_0_TDP_C,4.2,ug.L,0.6,
Rennie,Silver_Harbour_Thunder_Bay,10,TDP,A,Rennie_Silver_Harbour_Thunder_Bay_10_TDP_A,6.8,ug.L,0.6,
Rennie,Silver_Harbour_Thunder_Bay,10,TDP,B,Rennie_Silver_Harbour_Thunder_Bay_10_TDP_B,6.31,ug.L,0.6,
Rennie,Silver_Harbour_Thunder_Bay,10,TDP,C,Rennie_Silver_Harbour_Thunder_Bay_10_TDP_C,6.43,ug.L,0.6,
Chaffin,South_Bass_Island,0.5,TDP,A,Chaffin_South_Bass_Island_0.5_TDP_A,13.29,ug.L,0.6,
Chaffin,South_Bass_Island,0.5,TDP,B,Chaffin_South_Bass_Island_0.5_TDP_B,14.2,ug.L,0.6,
Chaffin,South_Bass_Island,0.5,TDP,C,Chaffin_South_Bass_Island_0.5_TDP_C,13.69,ug.L,0.6,
Chaffin,South_Bass_Island,9,TDP,A,Chaffin_South_Bass_Island_9_TDP_A,20.26,ug.L,0.6,
Chaffin,South_Bass_Island,9,TDP,B,Chaffin_South_Bass_Island_9_TDP_B,18.18,ug.L,0.6,
Chaffin,South_Bass_Island,9,TDP,C,Chaffin_South_Bass_Island_9_TDP_C,18.5,ug.L,0.6,
Twiss,U17,0,TDP,A,Twiss_U17_0_TDP_A,10.04,ug.L,0.6,
Twiss,U17,0,TDP,B,Twiss_U17_0_TDP_B,7.92,ug.L,0.6,
Twiss,U17,0,TDP,C,Twiss_U17_0_TDP_C,8.1,ug.L,0.6,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,TDP,A,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_TDP_A,ND,ug.L,0.6,reading error
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,TDP,B,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_TDP_B,6.61,ug.L,0.6,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,TDP,C,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_TDP_C,7.72,ug.L,0.6,
Vanderploeg,WE6,0.25,TDP,A,Vanderploeg_WE6_0.25_TDP_A,50.56,ug.L,0.6,
Vanderploeg,WE6,0.25,TDP,B,Vanderploeg_WE6_0.25_TDP_B,46.18,ug.L,0.6,
Vanderploeg,WE6,0.25,TDP,C,Vanderploeg_WE6_0.25_TDP_C,43.77,ug.L,0.6,
