pi_name,station,depth_m,analysis,sample_name,taxon,count_cell_ml-1,notes
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Strobilidium_Sp1_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Titinnidium_spp_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Urotricha_farcta_cell_mL-1,0.01,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Urotricha_Sp2_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Vorticella_campanula_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,TOTAL_cell_mL-1,0.02,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Cyclidium_spp_cell_mL-1,0.01,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Gymnodinium_helveticum_cell_mL-1,0,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Gymnodinium_Sp1_cell_mL-1,0,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Gymnodinium_varians_cell_mL-1,0.01,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Halteria_Sp1_cell_mL-1,0.01,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Mallomonas_pseudocoronata_cell_mL-1,0,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Mesodinium_Sp2_cell_mL-1,0,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Monodinium_Sp1_cell_mL-1,0,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Pelagohalteria_Sp1_cell_mL-1,0,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Peridinium_inconspicum_cell_mL-1,0.01,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Strombidum_Sp1_cell_mL-1,0.02,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Strobilidium_Sp1_cell_mL-1,0.01,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Titinnidium_spp_cell_mL-1,0,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Urotricha_farcta_cell_mL-1,0.03,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Urotricha_Sp2_cell_mL-1,0,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,Vorticella_campanula_cell_mL-1,0,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,ciliated_protist_abundance,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_ciliated_protist_abundance,TOTAL_cell_mL-1,0.11,
Depew,Parry_Sound_Georgian_Bay,0,ciliated_protist_abundance,Depew_Parry_Sound_Georgian_Bay_0_ciliated_protist_abundance,Cyclidium_spp_cell_mL-1,0,
Depew,Parry_Sound_Georgian_Bay,0,ciliated_protist_abundance,Depew_Parry_Sound_Georgian_Bay_0_ciliated_protist_abundance,Gymnodinium_helveticum_cell_mL-1,0.02,
Depew,Parry_Sound_Georgian_Bay,0,ciliated_protist_abundance,Depew_Parry_Sound_Georgian_Bay_0_ciliated_protist_abundance,Gymnodinium_Sp1_cell_mL-1,0,
