pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
McKay,LSC-MB,1,micro_fc,1,McKay_LSC-MB_1_micro_fc_1,1.66E+06,cells_mL-1,
McKay,LSC-MB,1,micro_fc,2,McKay_LSC-MB_1_micro_fc_2,1.61E+06,cells_mL-1,
McKay,LSC-MB,1,micro_fc,3,McKay_LSC-MB_1_micro_fc_3,1.73E+06,cells_mL-1,
McKay,NB22-002,0.5,micro_fc,1,McKay_NB22-002_0.5_micro_fc_1,3.26E+06,cells_mL-1,
McKay,NB22-003,0.5,micro_fc,1,McKay_NB22-003_0.5_micro_fc_1,2.18E+06,cells_mL-1,
McKay,NB22-004,0.5,micro_fc,1,McKay_NB22-004_0.5_micro_fc_1,1.27E+06,cells_mL-1,
McKay,NB22-005,0.5,micro_fc,1,McKay_NB22-005_0.5_micro_fc_1,2.07E+06,cells_mL-1,
McKay,NB22-005,0.5,micro_fc,2,McKay_NB22-005_0.5_micro_fc_2,2.10E+06,cells_mL-1,
McKay,NB22-005,0.5,micro_fc,3,McKay_NB22-005_0.5_micro_fc_3,2.25E+06,cells_mL-1,low confidence
McKay,NB22-006,0.5,micro_fc,1,McKay_NB22-006_0.5_micro_fc_1,2.20E+06,cells_mL-1,
McKay,NB22-006,0.5,micro_fc,2,McKay_NB22-006_0.5_micro_fc_2,1.89E+06,cells_mL-1,
McKay,NB22-006,0.5,micro_fc,3,McKay_NB22-006_0.5_micro_fc_3,2.54E+06,cells_mL-1,
McKay,NB22-007,0.5,micro_fc,1,McKay_NB22-007_0.5_micro_fc_1,2.02E+06,cells_mL-1,
McKay,NB22-007,0.5,micro_fc,2,McKay_NB22-007_0.5_micro_fc_2,2.06E+06,cells_mL-1,
McKay,NB22-007,0.5,micro_fc,3,McKay_NB22-007_0.5_micro_fc_3,1.65E+06,cells_mL-1,
McKay,NB22-008,0.5,micro_fc,1,McKay_NB22-008_0.5_micro_fc_1,1.54E+06,cells_mL-1,
McKay,NB22-008,0.5,micro_fc,2,McKay_NB22-008_0.5_micro_fc_2,1.58E+06,cells_mL-1,
McKay,NB22-008,0.5,micro_fc,3,McKay_NB22-008_0.5_micro_fc_3,1.66E+06,cells_mL-1,
Ozersky,Apostles,0,micro_fc,1,Ozersky_Apostles_0_micro_fc_1,1.20E+06,cells_mL-1,
Ozersky,Apostles,0,micro_fc,2,Ozersky_Apostles_0_micro_fc_2,1.82E+06,cells_mL-1,
Ozersky,Apostles,0,micro_fc,3,Ozersky_Apostles_0_micro_fc_3,7.56E+06,cells_mL-1,low confidence
Ozersky,Apostles,31,micro_fc,1,Ozersky_Apostles_31_micro_fc_1,2.12E+06,cells_mL-1,
Ozersky,Apostles,31,micro_fc,2,Ozersky_Apostles_31_micro_fc_2,7.85E+05,cells_mL-1,
Ozersky,Apostles,31,micro_fc,3,Ozersky_Apostles_31_micro_fc_3,1.07E+06,cells_mL-1,
Ozersky,Green_Bay,0,micro_fc,1,Ozersky_Green_Bay_0_micro_fc_1,4.97E+06,cells_mL-1,
Ozersky,Green_Bay,0,micro_fc,2,Ozersky_Green_Bay_0_micro_fc_2,3.72E+06,cells_mL-1,
Ozersky,Green_Bay,0,micro_fc,3,Ozersky_Green_Bay_0_micro_fc_3,7.90E+06,cells_mL-1,
Ozersky,Green_Bay,5,micro_fc,1,Ozersky_Green_Bay_5_micro_fc_1,5.20E+06,cells_mL-1,
Ozersky,Green_Bay,5,micro_fc,2,Ozersky_Green_Bay_5_micro_fc_2,4.94E+06,cells_mL-1,
Ozersky,Green_Bay,5,micro_fc,3,Ozersky_Green_Bay_5_micro_fc_3,7.83E+06,cells_mL-1,
Pearce/Xenopolous,BQ1,9,micro_fc,1,Pearce/Xenopolous_BQ1_9_micro_fc_1,3.90E+06,cells_mL-1,
Pearce/Xenopolous,BQ1,9,micro_fc,2,Pearce/Xenopolous_BQ1_9_micro_fc_2,2.01E+06,cells_mL-1,low confidence
Pearce/Xenopolous,BQ1,9,micro_fc,3,Pearce/Xenopolous_BQ1_9_micro_fc_3,2.97E+06,cells_mL-1,
Pearce/Xenopolous,BQ1,0,micro_fc,1,Pearce/Xenopolous_BQ1_0_micro_fc_1,3.87E+06,cells_mL-1,
Pearce/Xenopolous,BQ1,0,micro_fc,2,Pearce/Xenopolous_BQ1_0_micro_fc_2,2.00E+06,cells_mL-1,
Pearce/Xenopolous,BQ1,0,micro_fc,3,Pearce/Xenopolous_BQ1_0_micro_fc_3,3.10E+06,cells_mL-1,
Pearce/Xenopolous,GB1,7,micro_fc,1,Pearce/Xenopolous_GB1_7_micro_fc_1,1.36E+06,cells_mL-1,
Pearce/Xenopolous,GB1,7,micro_fc,2,Pearce/Xenopolous_GB1_7_micro_fc_2,1.45E+06,cells_mL-1,
Pearce/Xenopolous,GB1,7,micro_fc,3,Pearce/Xenopolous_GB1_7_micro_fc_3,2.11E+06,cells_mL-1,
Pearce/Xenopolous,GB1,0.45,micro_fc,1,Pearce/Xenopolous_GB1_0.45_micro_fc_1,1.25E+06,cells_mL-1,
