pi_name,station,depth_m,analysis,sample_name,taxon,count_cell_l-1,notes
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Botryococcus_sp_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Campylomonas_sp_cell_L-1,298380,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Chlorogonium_minimum_Playfair_cell_L-1,328218,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Chlorophyceae_spp_cell_L-1,387894,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Closterium_aciculare_T_West_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Closterium_strigosum_Brebisson_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Collodictyon_triciliatum_H_Carter_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Desmodesmus_sp_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Gloeotila_pelagica_Nyegaard_Skuja_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Koliella_longiseta_Vischer_Hindák_cell_L-1,2000,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Koliella_sp_cell_L-1,89514,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Lagerheimia_genevensis_Chodat_cell_L-1,29838,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Monoraphidium_arcuatum_Korshikov_Hindák_cell_L-1,1000,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Monoraphidium_contortum_Thurs_Kom_cell_L-1,358056,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Monoraphidium_minutum_Nägeli_Komárková-legnerová_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Mougeotia_sp_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Nephrochlamys_sp_cell_L-1,119352,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Oocystis_solitaria_Wittrock_cell_L-1,29838,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Oocystis_sp_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Planktosphaeria_gelatinosa_GMSmith_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Scenedesmus_sp_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Spermatozopsis_exsultans_Korshikov_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Stichococcus_sp_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Tetraedron_triangulare_Korshikov_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Tetrastrum_heteracanthum_Nordst_Chod_cell_L-1,954816,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Euglena_sp_cell_L-1,29838,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Aulomonas_purdyi_Lackey_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Bicoeca_sp_cell_L-1,59676,
