gene_id,MFF.CY.1,MFF.CY.2,MFF.CY.3,MFF.DY.1,MFF.DY.2,MFF.DY.3,subcellular_locations
tmco1,7.96346006663897,8.085486772102845,7.883069351305753,8.207129168071326,8.00836557031292,8.013343181386672,Endoplasmic reticulum membrane
tmco1,7.96346006663897,8.085486772102845,7.883069351305753,8.207129168071326,8.00836557031292,8.013343181386672,Golgi apparatus membrane
znf648,5.796057750765372,5.968707559985366,5.973809611869261,6.118097198041348,5.976350909297934,6.161207321695077,Nucleus
dr1,7.363913501405819,7.518064181233078,7.307872780763706,7.396948602621014,7.265429723253953,7.347299700743164,Nucleus
sec16b,7.734121303328305,7.890208213109961,7.563719668414366,7.58629630715272,7.494430215031565,7.492203042618741,Endoplasmic reticulum membrane
sec16b,7.734121303328305,7.890208213109961,7.563719668414366,7.58629630715272,7.494430215031565,7.492203042618741,Golgi apparatus membrane
magoh,7.806696372521179,7.897296472595885,7.807510042216193,8.013012110368916,7.781138509845015,8.00736706798333,Cytoplasm
magoh,7.806696372521179,7.897296472595885,7.807510042216193,8.013012110368916,7.781138509845015,8.00736706798333,Nucleus
magoh,7.806696372521179,7.897296472595885,7.807510042216193,8.013012110368916,7.781138509845015,8.00736706798333,Nucleus speckle
cpt2,7.79770203551669,7.982416346827733,7.820037989458753,8.079308192051961,7.873978379604501,7.92443418488756,Mitochondrion inner membrane
uhmk1,6.20455776256869,6.680854678790215,6.1779441140506,6.876264611890766,6.298949246855942,6.588926477533519,Nucleus
akr1a1b,8.574518258035507,8.731497794063243,8.582044163735853,9.48668339975797,9.259320994197804,9.386643856444575,Apical cell membrane
akr1a1b,8.574518258035507,8.731497794063243,8.582044163735853,9.48668339975797,9.259320994197804,9.386643856444575,Cytoplasm
akr1a1b,8.574518258035507,8.731497794063243,8.582044163735853,9.48668339975797,9.259320994197804,9.386643856444575,cytosol
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,Cell junction
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,Cell junction
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,tight junction
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,Cleavage furrow
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,Cytoplasm
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,Cytoplasm
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,cytoskeleton
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,microtubule organizing center
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,centrosome
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,Cytoplasm
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,cytoskeleton
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,spindle
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,Midbody
ect2,6.113682179832232,6.159095388491933,6.049733455231958,6.045005314036012,5.82600010738045,6.013715156042802,Nucleus
b3gnt5a,6.161207321695077,6.3561076606958915,6.037870919922137,5.934894195619588,5.771441123130016,5.924255797414532,Golgi apparatus membrane
rfc4,8.054204897064407,8.19836438996762,8.01862546504575,8.155362120328135,7.917536353943631,8.096512917501594,Nucleus
commd2,8.391629968440892,8.629271094821588,8.35983738064003,8.926118971153382,8.656085190282855,8.781248333236862,Cytoplasm
lmnb2,8.432506383249043,8.631771096123673,8.409385238781931,8.693664334532016,8.454679286026995,8.471777327885755,Nucleus lamina
pde6d,7.6004023345004,7.71333788887187,7.454141078146678,8.033009498596668,7.783224016336037,7.92588031673756,Cytoplasm
pde6d,7.6004023345004,7.71333788887187,7.454141078146678,8.033009498596668,7.783224016336037,7.92588031673756,cytoskeleton
