GSM8333927 GSM8333928 GSM8333929 GSM8333930 GSM8333931 GSM8333932 GSM8333933 GSM8333934 GSM8333935 GSM8333936 GSM8333937 GSM8333938
10.492906 10.410439 10.508793 10.569607 10.698163 10.494875 10.787488 10.633037 10.624147 10.501376 10.438169 10.604327
 6.461331  6.686374  6.259180  6.057795  6.518510  6.353722  6.449687  6.424014  6.474911  6.480307  6.531240  6.548682
 9.048866  8.966873  8.818111  8.808690  8.927632  8.861354  9.066781  9.160126  8.376567  8.310007  8.200295  8.121726
 6.346722  6.161369  5.923607  5.727674  5.888522  5.834768  5.635153  5.499557  5.776194  5.679225  5.753531  5.789840
 9.950603  9.793927 10.037706  9.950421 10.244650 10.238568 10.630979 10.633252 10.297670 10.477770 10.339422 10.488626
15.536559 15.358471 15.505242 15.635214 15.327501 15.128385 15.387449 15.242495 15.216930 15.110319 15.110896 15.129630
12.076073 12.155094 12.475583 12.363893 12.903548 12.961886 12.987622 12.871550 12.014432 11.918005 11.934572 11.937707
 5.558143  5.479487  5.568947  5.687413  5.828435  5.907674  5.923607  5.848917  5.590939  5.619343  5.842122  5.789840
 5.257046  5.238058  5.327601  5.367462  5.109887  5.202585  5.360163  5.289684  6.099595  5.891563  6.168908  6.267397
 5.469501  5.320257  5.055796  5.286826  5.338038  5.332199  5.002095  5.058046  7.168217  6.758121  6.697879  7.005027
 5.023631  5.144719  5.103563  4.861428  5.450405  5.147680  5.066557  5.190539  4.998133  5.023445  5.098290  4.954189
 8.590121  8.505419  8.512659  8.648427  8.387838  8.128109  8.204099  8.262304  8.163929  8.370133  8.246971  8.338407
 9.026037  9.559718  9.577254 10.116765 10.080500 10.165995 10.122493 10.063242 10.834365 10.513554 10.638767 10.468191
